gene_id,symbol,entrez,log2FoldChange,padj,baseMean,lfcSE,pvalue
ENSG00000145194,ECE2,9718,0.5607554352423375,0.09630930260053736,21.102133647333083,0.494678586333502,0.01739477276401777
ENSG00000205339,IPO7,10527,0.15776010008421865,0.09637155861119596,3589.8602874070193,0.06897589183792854,0.01741125036651908
ENSG00000059691,GATB,5188,-0.23559130161794933,0.09637218508616248,331.75250098591175,0.10925854018470536,0.01741788604536703
ENSG00000267361,SEC24AP1,100421166,0.5481511076398856,0.09637218508616248,21.12644520500741,0.7342813129232408,0.01742183025532635
ENSG00000236686,NA,NA,0.5599082795333128,0.0963910534118944,23.521181598880386,0.5208607576407495,0.01743047558303602
ENSG00000235033,DAAM2-AS1,100505635,0.5325039027767645,0.09644156563573196,19.377863249631964,0.421723989208342,0.0174448468711715
ENSG00000089057,SLC23A2,9962,-0.25221705746114614,0.09648328209158966,863.2244957811369,0.11877132022959799,0.01745763214385972
ENSG00000151067,CACNA1C,775,-0.393746174582584,0.09650731656921564,1320.2916322641706,0.22509047963417575,0.01746722161961421
ENSG00000235217,TSPY26P,128854,-0.4487050400442532,0.09654569592205656,119.8219011114552,0.2847170814903223,0.01747941081749316
ENSG00000227517,LINC01483,101928122,-0.5412640567386908,0.09659091237228168,7.061150319557212,0.930238734233288,0.01749284239812975
ENSG00000114383,TUSC2,11334,0.23473836769614975,0.09687977433389076,337.1565031824009,0.10881708371277568,0.01755041689806459
ENSG00000139112,GABARAPL1,23710,0.35227145093716605,0.09708535672485633,6332.919875853815,0.18751842484955472,0.01759293159874263
ENSG00000105058,FAM32A,26017,0.2037635178822687,0.09708560223053014,1608.196435994821,0.09201125637323668,0.017598248180587
ENSG00000100196,KDELR3,11015,0.17389200621957315,0.0970929085000818,1419.3793737765664,0.07693852988789172,0.01760484504381065
ENSG00000124198,ARFGEF2,10564,0.2713000496257369,0.09716718649725074,1629.765069978588,0.13062711754236206,0.01762358962263467
ENSG00000021762,OSBPL5,114879,0.3338897963330437,0.09721970539363374,1366.056817565914,0.17405983815258178,0.01763839455444639
ENSG00000175582,RAB6A,5870,0.1925064288634698,0.09725660816545906,2333.550759521053,0.08647746967450692,0.01765037113706023
ENSG00000183675,NA,NA,-0.19653090048555497,0.09748727376823954,4.130476457501264,0.3673763535238311,0.01769752681005836
ENSG00000100209,HSCB,150274,-0.31328868797334486,0.09758728559462848,130.95696752921398,0.15920939002724255,0.01772098197276337
ENSG00000196369,SRGAP2B,647135,-0.2400059361357804,0.09768611599116016,485.64081554509687,0.11214112375887918,0.01774423339616784
ENSG00000117222,RBBP5,5929,-0.23236482933270855,0.09768822724818683,509.794256288942,0.1077359387667395,0.01774992171449542
ENSG00000083642,PDS5B,23047,-0.17222677577010187,0.09769370633434848,863.0157329802588,0.07628271743244529,0.01776441867475787
ENSG00000084754,HADHA,3030,0.1952712059631746,0.09769370633434848,4679.534946112302,0.08777611017458929,0.01777213772577069
ENSG00000139263,LRIG3,121227,-0.2756646163975421,0.09769370633434848,1987.936688642578,0.1337678609914384,0.01775969748351572
ENSG00000147041,SYTL5,94122,-0.2615036262911374,0.09769370633434848,11.12397450902336,0.4614258237025042,0.01776854391698419
ENSG00000021776,AQR,9716,0.2055913799367605,0.0977930076843105,1158.8840966043065,0.09315353662004572,0.01780613384553315
ENSG00000178814,OPLAH,26873,0.3043088859364849,0.0977930076843105,163.64774378140646,0.15234217809134262,0.01780448910289072
ENSG00000257150,NA,NA,0.21238715516502385,0.0977930076843105,5.152270208305202,0.3865072302212888,0.01779662569656053
ENSG00000173085,COQ2,27235,0.3946689673884802,0.09787134468981204,149.71912588237336,0.2267924677379616,0.01782571219601573
ENSG00000100207,TCF20,6942,-0.2002717194150676,0.09792231246186704,742.4667757594608,0.09049223830443937,0.01784031269669095
ENSG00000113368,LMNB1,4001,-0.5346233269863526,0.09804117158267006,51.51728363005377,0.444078171747841,0.01786729143803642
ENSG00000204397,CARD16,114769,-0.4058800777220972,0.09821712296641204,97.07770879712696,0.23826384077093055,0.01790469083889466
ENSG00000160469,BRSK1,84446,-0.3422909092403009,0.09826421315476566,139.7676392276932,0.18095390745705295,0.01791861133715466
ENSG00000206127,GOLGA8O,728047,-0.30782538304976886,0.09828104582826676,216.79351736858976,0.15555925890339206,0.01792701780815357
ENSG00000117620,SLC35A3,23443,0.3046095684678955,0.09833753284540576,486.5078894886081,0.1531776507134733,0.0179426614369027
ENSG00000257732,LOC124903002,124903002,0.5506385559164445,0.09840532201101436,44.42320669612,0.5378956482210258,0.01796037400374799
ENSG00000105173,CCNE1,898,-0.464526011648322,0.09851002367362982,52.52704799357177,0.3079906319154843,0.01798920408318165
ENSG00000162688,AGL,178,0.32985782971520716,0.09851002367362982,916.3126122869406,0.17176936778407054,0.0179955318836867
ENSG00000166913,YWHAB,7529,0.1338239787737882,0.09851002367362982,5278.763157895175,0.05874650360087145,0.01799182507396983
ENSG00000154914,USP43,124739,0.47487216533780824,0.0987977965968132,6.999023012488548,0.8893468703413506,0.01805883156909439
ENSG00000163683,SMIM14,201895,0.36163186654838614,0.0987977965968132,2319.722396604356,0.19736894652818007,0.01805624597052785
ENSG00000168476,REEP4,80346,0.31867517117491834,0.0988462178011058,211.27214185874928,0.16343705326542102,0.01807304997753588
ENSG00000166454,ATMIN,23300,-0.1956922842018414,0.09892673540893412,1610.3620022857822,0.08838876786953397,0.01809314389667608
ENSG00000139163,ETNK1,55500,0.2934458748666467,0.09895543770269452,609.6313882201372,0.1458933950370944,0.0181091406493663
ENSG00000177453,NIM1K,167359,-0.5534931149528642,0.09895543770269452,58.50424341637553,0.6388341360398077,0.01810891097360023
ENSG00000181004,BBS12,166379,0.36157142854262914,0.09895609307461312,161.62048546414863,0.19824489677154225,0.018114634252214
ENSG00000139636,LMBR1L,55716,0.2488001975778272,0.0990009704366384,637.8775951605627,0.11762564854209814,0.0181282254853296
ENSG00000068697,LAPTM4A,9741,-0.2125376535127212,0.09922214344415624,8266.490215179798,0.09727584020213828,0.01817411294255438
ENSG00000134905,CARS2,79587,0.286381416150336,0.0992390600773436,880.4441366187714,0.14089281472198606,0.01818260052679649
ENSG00000116731,PRDM2,7799,0.21140542749647448,0.09932678556712456,1189.1644716013218,0.0966883190661039,0.01820406740641028
ENSG00000239697,TNFSF12,8742,0.25161471705549227,0.0994005381190965,401.4350559433595,0.1195392790217782,0.01822298217160302
ENSG00000011405,PIK3C2A,5286,0.2951779888895683,0.0994220637690164,1505.092770879341,0.1470151674270046,0.01823232741504037
ENSG00000163545,NUAK2,81788,0.5432195867063776,0.09964551006041344,78.08335229697676,0.4897821466138584,0.01828412590247825
ENSG00000229931,NA,NA,-0.5446622996928333,0.09964551006041344,25.14306612055637,0.7114635102002246,0.01828189157926597
ENSG00000154001,PPP2R5E,5529,0.19326069508805468,0.09974077606032246,1056.8331484375778,0.08725335936666949,0.0183070227034423
ENSG00000151116,UEVLD,55293,0.2028235506021424,0.0998028813563944,700.7732012556723,0.0921974308741771,0.01833910001776985
ENSG00000165819,METTL3,56339,0.231847039220914,0.0998028813563944,636.6657728434616,0.10802379100346483,0.01832843213571306
ENSG00000179941,BBS10,79738,0.26781398397611594,0.0998028813563944,651.4814561926258,0.1294208657320188,0.01833087633173975
ENSG00000230487,PSMG3-AS1,114796,-0.2995805945688998,0.0998028813563944,363.1821953973157,0.15067398209609223,0.01834010048927714
ENSG00000166035,LIPC,3990,-0.4937482604080308,0.09986048136596418,29.965622734703043,0.3546367114519328,0.01835610803278787
ENSG00000151500,THYN1,29087,-0.263652924757321,0.09999386763351668,422.95339662277166,0.12725467332976054,0.01838605679104466
ENSG00000119771,KLHL29,114818,0.35270105643558775,0.10017027394808033,977.3307453275494,0.19069566648621375,0.01842595626457421
ENSG00000167711,SERPINF2,5345,0.436117633319141,0.10017027394808033,10.134881328260988,0.7895673781843622,0.01842937214966582
ENSG00000082512,TRAF5,7188,0.2933790700308097,0.10028501919040092,445.6895340462361,0.14631013456979414,0.01845592886431
ENSG00000074416,MGLL,11343,0.33915963648582764,0.10038550482476984,4308.442201725363,0.18516662807408243,0.01847987300331087
ENSG00000163623,NKX6-1,4825,0.311473097955773,0.10047396710567226,841.600505297354,0.15891968781495475,0.01850161403504396
ENSG00000108175,ZMIZ1,57178,-0.3105238887190084,0.10076205694908703,3618.012349231556,0.15912400144119324,0.01856560734337509
ENSG00000189398,OR7E12P,10821,-0.4400687680068752,0.10076205694908703,81.44629045921165,0.27954661441092366,0.01856435752760516
ENSG00000116005,PCYOX1,51449,0.34682480173788716,0.10079440062136646,8491.253531194177,0.18641956025807052,0.01857877248293351
ENSG00000141198,TOM1L1,10040,0.458854719586112,0.10079440062136646,190.9917245089497,0.30533054867720855,0.01858251371759647
ENSG00000164610,RP9,6100,-0.3556300581093412,0.10081349442759743,144.8202363180494,0.19452111469346292,0.01859150839403317
ENSG00000178988,MRFAP1L1,114932,-0.1660400674575586,0.10091498815340312,926.9809117039598,0.0738456446718297,0.01861570539001414
ENSG00000169714,CNBP,7555,0.2169271437191667,0.1009227900335342,3622.188835289794,0.10012105934859308,0.01862384211197126
ENSG00000197769,MAP1LC3C,440738,0.1319532957974728,0.1009227900335342,134.64412211732724,0.30720466896026316,0.01862810552940443
ENSG00000116161,CACYBP,27101,-0.23022400869815243,0.1009989765883574,713.1496134160202,0.10773353036213563,0.01865862168632049
ENSG00000169302,STK32A,202374,-0.3156084515993942,0.1009989765883574,37.44143620803934,0.5527307525171168,0.01865402230050372
ENSG00000186815,TPCN1,53373,0.34585081955205693,0.1009989765883574,1844.6512985396064,0.1863185928859059,0.01865828907485707
